,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,param_loss,param_penalty,param_dual
28,26.438875317573547,0.11897961733873155,2.527791905403137,0.032616511958462414,0.0625,poly,3,"{'C': 0.0625, 'degree': 3, 'kernel': 'poly'}",0.5066666666666667,0.5066666666666667,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.5053333333333333,0.000666666666666682,55,,,
29,26.589959239959718,0.17391832125696097,2.5108048915863037,0.027178719215068817,0.0625,poly,4,"{'C': 0.0625, 'degree': 4, 'kernel': 'poly'}",0.5066666666666667,0.5066666666666667,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.5053333333333333,0.000666666666666682,55,,,
30,26.447425985336302,0.12968616884769363,2.5389523029327394,0.0320948546969904,0.0625,poly,5,"{'C': 0.0625, 'degree': 5, 'kernel': 'poly'}",0.5066666666666667,0.5066666666666667,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.5053333333333333,0.000666666666666682,55,,,
31,26.49849145412445,0.12293188130342912,2.5279529094696045,0.02875150522599349,0.125,poly,2,"{'C': 0.125, 'degree': 2, 'kernel': 'poly'}",0.5616666666666666,0.585,0.5533333333333333,0.5533333333333333,0.5383333333333333,0.5666666666666667,0.5483333333333333,0.5766666666666667,0.5633333333333334,0.5666666666666667,0.5613333333333332,0.012970050972229138,50,,,
32,26.62470519542694,0.09051552350223334,2.515882730484009,0.02789428177244252,0.125,poly,3,"{'C': 0.125, 'degree': 3, 'kernel': 'poly'}",0.5066666666666667,0.5066666666666667,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.5053333333333333,0.000666666666666682,55,,,
33,26.552237153053284,0.09533987318663026,2.550762915611267,0.025942312382594427,0.125,poly,4,"{'C': 0.125, 'degree': 4, 'kernel': 'poly'}",0.5066666666666667,0.5066666666666667,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.5053333333333333,0.000666666666666682,55,,,
34,26.571702790260314,0.1670234582589631,2.5146498918533324,0.02821566488720185,0.125,poly,5,"{'C': 0.125, 'degree': 5, 'kernel': 'poly'}",0.5066666666666667,0.5066666666666667,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.5053333333333333,0.000666666666666682,55,,,
35,26.225452136993407,0.14437502415956135,2.493833637237549,0.03760866947331839,0.25,poly,2,"{'C': 0.25, 'degree': 2, 'kernel': 'poly'}",0.7583333333333333,0.755,0.7616666666666667,0.7483333333333333,0.7533333333333333,0.725,0.7616666666666667,0.73,0.755,0.7933333333333333,0.7541666666666667,0.017705146772117496,43,,,
36,26.55306386947632,0.11832188406315072,2.5376728773117065,0.02307682439500953,0.25,poly,3,"{'C': 0.25, 'degree': 3, 'kernel': 'poly'}",0.51,0.51,0.51,0.505,0.5066666666666667,0.505,0.505,0.505,0.5083333333333333,0.505,0.5069999999999999,0.0022110831935702657,53,,,
37,26.57984094619751,0.1382927802210046,2.5308037996292114,0.029361513344593495,0.25,poly,4,"{'C': 0.25, 'degree': 4, 'kernel': 'poly'}",0.5066666666666667,0.5066666666666667,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.5053333333333333,0.000666666666666682,55,,,
